methodHistories,LOC,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,Churn,MaxChurn,AvgChurn,cond,elseAdded,elseDeleted,bug
2,24,2,1,1,1,0,0,0,1,1,0,0,0,0,FALSE
1,22,1,22,22,22,0,0,0,22,22,22,0,0,0,FALSE
0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,168,2,0,0,0,39,39,39,0,0,0,0,0,0,FALSE
1,17,1,17,17,17,0,0,0,17,17,17,0,0,0,FALSE
1,27,1,27,27,27,0,0,0,27,27,27,0,0,0,FALSE
1,112,2,4,4,4,0,0,0,4,4,4,0,0,0,FALSE
1,10,1,10,10,10,0,0,0,10,10,10,0,0,0,FALSE
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,17,1,4,4,4,0,0,0,4,4,4,0,0,0,FALSE
1,19,1,19,19,19,0,0,0,19,19,19,0,0,0,FALSE
2,83,2,0,0,0,22,22,22,0,0,0,0,0,0,FALSE
2,37,2,37,35,18,0,0,0,37,35,18,1,0,0,FALSE
1,13,1,13,13,13,0,0,0,13,13,13,0,0,0,FALSE
1,17,1,17,17,17,0,0,0,17,17,17,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,16,1,16,16,16,0,0,0,16,16,16,0,0,0,FALSE
1,130,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,19,2,0,0,0,4,4,4,0,0,0,0,0,0,FALSE
2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,30,1,30,30,30,0,0,0,30,30,30,0,0,0,FALSE
1,15,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,43,1,43,43,43,0,0,0,43,43,43,0,0,0,FALSE
3,98,3,8,8,8,17,17,17,0,8,0,0,0,0,FALSE
2,117,2,4,4,4,20,20,20,0,4,0,0,0,0,FALSE
2,270,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
3,120,2,2,2,2,17,17,17,0,2,0,0,0,0,FALSE
1,37,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,108,2,2,2,2,0,0,0,2,2,2,0,0,0,FALSE
1,194,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,41,2,2,2,2,0,0,0,2,2,2,0,0,0,FALSE
0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,206,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,130,2,10,10,10,17,17,17,0,10,0,0,0,0,FALSE
2,181,3,8,8,8,0,0,0,8,8,4,0,0,0,FALSE
2,96,2,8,8,8,17,17,17,0,8,0,0,0,0,FALSE
2,115,2,8,8,8,17,17,17,0,8,0,0,0,0,FALSE
1,107,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
3,137,2,2,2,2,123,123,123,0,2,0,2,0,1,FALSE
2,268,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,261,2,10,10,10,22,22,22,0,10,0,0,0,0,FALSE
3,164,2,3,3,3,2,2,2,1,3,0,0,0,0,FALSE
1,17,1,17,17,17,0,0,0,17,17,17,0,0,0,FALSE
3,403,3,22,16,11,17,17,17,5,16,1,0,0,0,FALSE
3,128,3,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
1,286,2,14,14,14,0,0,0,14,14,14,0,0,0,FALSE
2,393,2,26,26,26,39,39,39,0,26,0,0,0,0,FALSE
2,188,2,0,0,0,2,2,2,0,0,0,0,0,0,FALSE
2,150,2,16,16,16,34,34,34,0,16,0,0,0,0,FALSE
2,129,2,12,12,12,34,34,34,0,12,0,0,0,0,FALSE
3,233,2,18,18,18,56,34,28,0,18,0,0,0,0,FALSE
2,149,2,4,4,4,24,24,24,0,4,0,0,0,0,FALSE
2,323,2,20,20,20,39,39,39,0,20,0,0,0,0,FALSE
2,423,2,6,6,6,22,22,22,0,6,0,0,0,0,FALSE
2,202,3,19,11,9,0,0,0,19,11,9,0,0,0,FALSE
1,128,2,0,0,0,4,4,4,0,0,0,0,0,0,FALSE
1,279,2,14,14,14,0,0,0,14,14,14,0,0,0,FALSE
2,197,2,18,18,18,35,35,35,0,18,0,0,0,0,FALSE
2,137,2,6,6,6,17,17,17,0,6,0,0,0,0,FALSE
2,162,2,16,16,16,17,17,17,0,16,0,0,0,0,FALSE
2,181,2,18,18,18,17,17,17,1,18,0,0,0,0,FALSE
3,171,2,4,4,4,150,150,150,0,4,0,3,0,1,FALSE
2,268,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,429,2,96,54,48,0,0,0,96,54,48,2,0,0,FALSE
1,256,2,0,0,0,8,8,8,0,0,0,0,0,0,FALSE
2,63,2,0,0,0,22,22,22,0,0,0,0,0,0,FALSE
1,23,1,23,23,23,0,0,0,23,23,23,0,0,0,FALSE
1,172,2,0,0,0,4,4,4,0,0,0,0,0,0,FALSE
2,296,2,0,0,0,22,22,22,0,0,0,0,0,0,FALSE
2,344,1,0,0,0,22,22,22,0,0,0,0,0,0,FALSE
1,26,1,26,26,26,0,0,0,26,26,26,0,0,0,FALSE
1,101,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,77,1,26,26,26,0,0,0,26,26,26,1,0,0,FALSE
0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
3,430,3,18,18,18,26,17,13,0,18,0,0,0,0,FALSE
1,95,1,0,0,0,3,3,3,0,0,0,0,0,0,FALSE
1,106,2,0,0,0,6,6,6,0,0,0,0,0,0,FALSE
1,14,1,14,14,14,0,0,0,14,14,14,0,0,0,FALSE
3,15,1,4,4,4,6,4,3,0,4,0,0,0,0,FALSE
3,15,1,4,4,4,6,4,3,0,4,0,0,0,0,FALSE
1,11,1,11,11,11,0,0,0,11,11,11,0,0,0,FALSE
2,124,2,7,7,7,8,8,8,0,7,0,0,0,0,FALSE
0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,125,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2,128,1,3,3,3,0,0,0,3,3,1,0,0,0,FALSE
1,691,1,0,0,0,1,1,1,0,0,0,0,0,0,FALSE
1,101,1,15,15,15,0,0,0,15,15,15,0,0,0,FALSE
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,26,1,26,26,26,0,0,0,26,26,26,0,0,0,FALSE
1,29,1,4,4,4,0,0,0,4,4,4,0,0,0,FALSE
1,23,1,23,23,23,0,0,0,23,23,23,0,0,0,FALSE
